_Name protein
144206283 4agq
144205429 4ago
144208592 4ago
144210983 4agq
144205056 4ago
144205478 3zme
144211196 4agq
144204127 4agq
144204104 4agq
144207460 5g4o
144205702 5g4o
144204413 5o1i
144203938 4agq
144211228 3zme
144204749 2vuk
144208720 4agq
144209358 2vuk
144206028 5o1i
144211498 5g4o
144212795 5o1i
144206730 4agq
144203951 5o1i
144206500 4ago
144212277 4ago
144205436 5o1i
144206972 5g4o
144206776 3zme
144212203 5g4o
144203603 4agq
144208750 5g4o
144207119 4ago
144205798 4agq
144213966 4agq
144203978 3zme
144213374 5o1i
144206792 4ago
144208170 5o1i
144211019 4ago
144207180 4agq
144209352 5o1i
144209743 5g4o
144204502 3zme
144207042 5o1i
144211477 4ago
144210468 5o1i
144209441 4agq
144207319 5o1i
144205553 4ago
144209360 4agq
144212232 5o1i
144205759 3zme
144205425 5o1i
144203658 5o1i
144210501 5o1i
144203946 5o1i
144204198 5g4o
144212748 4agq
144206498 2vuk
144209780 5g4o
144206282 2vuk
144211054 4agq
144211032 3zme
144207959 5o1i
144206218 5o1i
144211652 4ago
144203564 4agq
144203714 4ago
144203704 4agq
144212329 4ago
144203952 5o1i
144204169 4ago
144205492 5g4o
144209037 3zme
144211641 3zme
144204932 5o1i
144211588 4ago
144206975 5o1i
144204354 4ago
144205680 4ago
144203641 4ago
144211125 5o1i
144213555 4agq
144212434 4agq
144213727 4ago
144211338 4ago
144211155 4ago
144203563 4agq
144204237 5o1i
144211842 4ago
144207839 4ago
144213315 4agq
144205889 4ago
144211960 5o1i
144207369 5o1i
144209311 5o1i
144205309 3zme
144209553 4agq
144208754 4agq
144208028 2vuk
144203920 5o1i
144204433 4ago
144209087 5o1i
144213181 4agq
144210919 2vuk
144213344 3zme
144205871 4agq
144210880 5o1i
144203646 3zme
144209038 5g4o
144213169 3zme
144204843 4ago
144208021 5o1i
144212164 5g4o
144210361 5g4o
144208193 2vuk
144207102 5o1i
144207742 5o1i
144213666 4ago
144205365 3zme
144213336 2vuk
144210461 4ago
144213538 3zme
144213746 5o1i
144208461 3zme
144210613 5o1i
144206729 4ago
144207251 3zme
144206545 4ago
144207877 5o1i
144204842 4ago
144213370 4ago
144211143 5o1i
144205686 3zme
144210186 4agq
144213783 5o1i
144208164 3zme
144207156 4ago
144206769 4ago
144208512 4ago
144212877 4agq
144203669 2vuk
144203772 4ago
144213523 4agq
144203914 4ago
144206467 4ago
144206768 5g4o
144204300 4ago
144205800 4agq
144210711 4ago
144209285 4ago
144206426 4ago
144213229 4ago
144213471 4ago
144210536 4ago
144206824 4agq
144209411 3zme
144211736 4ago
144203815 4ago
144211082 5g4o
144207589 5o1i
144213039 3zme
144213844 4agq
144212199 3zme
144208179 5o1i
144210425 5o1i
144206577 5g4o
144213206 3zme
144205454 2vuk
144205143 4agq
144212221 4agq
144205245 5g4o
144210560 2vuk
144207886 5o1i
144204976 3zme
144211857 3zme
144206547 5o1i
144205538 4agq
144205666 2vuk
144207958 5o1i
144210085 4agq
144207276 3zme
144207920 5o1i
144210601 2vuk
144208965 5o1i
144211741 2vuk
144205674 4agq
144210103 4agq
144206770 4ago
144206236 2vuk
144208490 4ago
144209219 3zme
144211169 4agq
144208594 4ago
144213810 4agq
144205179 3zme
144204320 4ago
144207678 5o1i
144211034 4ago
144208511 5o1i
144208834 5o1i
144206185 5o1i
144208093 5o1i
144205190 4agq
144212736 5g4o
144209613 5o1i
144210949 2vuk
144211456 5g4o
144207183 4agq
144210723 2vuk
144205641 4ago
144206187 4agq
144203972 5o1i
144205533 3zme
144213822 4ago
144212448 4agq
144210924 5g4o
144208763 5o1i
144209702 3zme
144211077 2vuk
144206447 4agq
144205175 5o1i
144205015 4agq
144213171 4ago
144211063 5o1i
144210104 4agq
144211520 5g4o
144206003 5o1i
144212177 3zme
144206422 4ago
144206055 4ago
144210161 4ago
144206005 5g4o
144206346 5o1i
144204088 4agq
144212246 5o1i
144207229 5o1i
144213148 4ago
144212248 4ago
144211675 3zme
144209881 3zme
144213074 2vuk
144205081 4ago
144205341 4ago
144203746 5o1i
144207494 4agq
144206910 4agq
144207630 5g4o
144203707 4ago
144213673 4agq
144209184 5g4o
144212929 5o1i
144211233 3zme
144205469 4agq
144205266 4agq
144204437 4agq
144205605 4ago
144207797 5g4o
144205055 5g4o
